Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
1986-03-13,0.05970704182982445,0.06237298367086987,0.054376384417196166,0.054376384417196166,1031788800
1986-03-14,0.06183929368853569,0.06290603811420528,0.05970703110643883,0.05970703110643883,308160000
1986-03-17,0.06290602684020996,0.06343909239019836,0.061839282605721885,0.061839282605721885,133171200
1986-03-18,0.06130620464682579,0.06343907954957828,0.06077313920473446,0.06290601410748695,67766400
1986-03-19,0.060240089893341064,0.06183928664783752,0.05970702430850892,0.061306221063005366,47894400
1986-03-20,0.05864087492227554,0.060240071179987635,0.05810780950303817,0.060240071179987635,58435200
1986-03-21,0.057041674852371216,0.0597070017704297,0.055975544085147814,0.05864087100320631,59990400
1986-03-24,0.05544251576066017,0.057041712980437524,0.054909450020734385,0.057041712980437524,65289600
1986-03-25,0.05650864541530609,0.056508645415306084,0.05490944824718213,0.05544251396989012,32083200
1986-03-26,0.05810783803462982,0.05864090371560834,0.055975575310715765,0.05650864099169428,22752000
1986-03-27,0.05917396396398544,0.05917396396398544,0.05810783269990703,0.05810783269990703,16848000
1986-03-31,0.05864087492227554,0.0591739403415129,0.05757474408380081,0.0591739403415129,12873600
1986-04-01,0.05810783803462982,0.05864090371560834,0.05810783803462982,0.05864090371560834,11088000
1986-04-02,0.05864087492227554,0.05970700576075027,0.05810780950303817,0.05810780950303817,27014400
1986-04-03,0.05917396396398544,0.06077316086010305,0.05917396396398544,0.05917396396398544,23040000
1986-04-04,0.05917396396398544,0.05970702959602464,0.05917396396398544,0.05917396396398544,26582400
1986-04-07,0.05810783803462982,0.05970703507756537,0.0570417066726728,0.059173969396586854,16560000
1986-04-08,0.05864087492227554,0.05970700576075027,0.05810780950303817,0.05810780950303817,10252800
1986-04-09,0.05970704182982445,0.06024010757108728,0.0586409103472988,0.0586409103472988,12153600
1986-04-10,0.060240089893341064,0.06077315547817322,0.058640893138844616,0.05970702430850892,13881600
1986-04-11,0.06130620464682579,0.06237294866539562,0.06077313920473446,0.06077313920473446,17222400
1986-04-14,0.06183929368853569,0.062372972468681065,0.061306228043011474,0.061306228043011474,12153600
1986-04-15,0.06183929368853569,0.06183929368853568,0.05970703110643883,0.06183929368853568,9302400
1986-04-16,0.06397218257188797,0.06450524832712677,0.061306240660946594,0.061839306416185395,31910400
1986-04-17,0.06450522691011429,0.06450522691011429,0.06397216133186381,0.06397216133186381,22003200
1986-04-18,0.06237297132611275,0.06450523386915012,0.06183929255574347,0.06450523386915012,21628800
1986-04-21,0.06237297132611275,0.06290603696187208,0.06077316128422478,0.06237297132611274,22924800
1986-04-22,0.06130620464682579,0.06237294866539562,0.06130620464682579,0.06237294866539562,15552000
1986-04-23,0.061572760343551636,0.061839295461772366,0.06077316414015271,0.061306229800962536,15609600
1986-04-24,0.06770360469818115,0.06876973560774602,0.061306206106390204,0.06157273654596649,62352000
1986-04-25,0.07196876406669617,0.07490062727632427,0.06823669157706787,0.06823669157706787,85795200
1986-04-28,0.07250180840492249,0.07303487387058137,0.07143506433919043,0.0719687429392636,28886400
1986-04-29,0.0703689455986023,0.07250182096515186,0.06983588004059503,0.07250182096515186,30326400
1986-04-30,0.06876973807811737,0.07090199997384297,0.06717054165632316,0.07036893449991156,30902400
1986-05-01,0.06770360469818115,0.06876973560774602,0.06663747378861629,0.06876973560774602,54345600
1986-05-02,0.06770360469818115,0.06876973560774602,0.06717053924339872,0.06770360469818115,20246400
1986-05-05,0.06717056781053543,0.06770363349202668,0.06717056781053543,0.06770363349202668,3254400
1986-05-06,0.06770360469818115,0.06876973560774602,0.06770360469818115,0.06770360469818115,9734400
1986-05-07,0.06770360469818115,0.06823667015296359,0.06663747378861629,0.06770360469818115,5155200
1986-05-08,0.06823667883872986,0.06823667883872986,0.06717054779345843,0.06770361331609415,3542400
1986-05-09,0.06770360469818115,0.06823667015296359,0.06770360469818115,0.06823667015296359,6076800
1986-05-12,0.06823667883872986,0.069835875406637,0.06770361331609415,0.06770361331609415,10483200
1986-05-13,0.06876973807811737,0.06930280355204876,0.06823667260418596,0.06823667260418596,3830400
1986-05-14,0.06823667883872986,0.06876974436136557,0.06823667883872986,0.06876974436136557,9302400
1986-05-15,0.06823667883872986,0.06930280988400128,0.06823667883872986,0.06823667883872986,3801600
1986-05-16,0.06876973807811737,0.07036893449991156,0.06823667260418596,0.06823667260418596,11952000
1986-05-19,0.06770360469818115,0.06876973560774602,0.06717053924339872,0.06876973560774602,11001600
1986-05-20,0.06717056781053543,0.06770363349202668,0.06663750212904418,0.06770363349202668,61977600
1986-05-21,0.06610441207885742,0.06770360853380425,0.06610441207885742,0.06717054304882197,8092800
1986-05-22,0.06610441207885742,0.0666374775638397,0.06610441207885742,0.06610441207885742,4406400
1986-05-23,0.06610441207885742,0.06717054304882197,0.06610441207885742,0.06610441207885742,4089600
1986-05-27,0.06823667883872986,0.06823667883872986,0.06610441674818701,0.06610441674818701,13881600
1986-05-28,0.0703689455986023,0.0703689455986023,0.06823668336657324,0.06823668336657324,15523200
1986-05-29,0.07196876406669617,0.07303489531099161,0.06983588844351102,0.07036895406565874,45676800
1986-05-30,0.07463406771421432,0.07570019860905816,0.07250180592452668,0.07250180592452668,27072000
1986-06-02,0.07250180840492249,0.07463407026755801,0.07250180840492249,0.07463407026755801,19728000
1986-06-03,0.07250180840492249,0.07250180840492249,0.07143506433919043,0.07250180840492249,5011200
1986-06-04,0.07196876406669617,0.07303489531099161,0.07143508530995417,0.07250182968884389,4723200
1986-06-05,0.0730348750948906,0.0730348750948906,0.07143506553668148,0.0719687441457009,13708800
1986-06-06,0.0730348750948906,0.0730348750948906,0.0719687441457009,0.0730348750948906,3427200
1986-06-09,0.0698358565568924,0.07303486196372697,0.0698358565568924,0.07303486196372697,12672000
1986-06-10,0.0698358565568924,0.0698358565568924,0.06876972579938564,0.0698358565568924,3427200
1986-06-11,0.0698358565568924,0.0698358565568924,0.06876972579938564,0.0698358565568924,2304000
1986-06-12,0.06717056781053543,0.06983589621799169,0.06663750212904418,0.06983589621799169,13708800
1986-06-13,0.06717056781053543,0.06770363349202668,0.06663750212904418,0.06717056781053543,7891200
1986-06-16,0.06663746386766434,0.0677035946185042,0.06610439849224442,0.06717052924308427,9590400
1986-06-17,0.06770360469818115,0.06876973560774602,0.06717053924339872,0.06717053924339872,13075200
1986-06-18,0.06717056781053543,0.06770363349202668,0.06610443644755293,0.06770363349202668,4348800
1986-06-19,0.06663746386766434,0.0677035946185042,0.06610439849224442,0.06717052924308427,8467200
1986-06-20,0.06690401583909988,0.06717054630670312,0.0666374807958663,0.0666374807958663,3801600
1986-06-23,0.06770360469818115,0.06770360469818115,0.06557134287905143,0.06690400880382244,46195200
1986-06-24,0.06717056781053543,0.06823669917351793,0.06663750212904418,0.06770363349202668,14572800
1986-06-25,0.06610441207885742,0.06770360853380425,0.06610441207885742,0.06717054304882197,15235200
1986-06-26,0.06397218257188797,0.06663751134808199,0.06397218257188797,0.06610444559284319,19152000
1986-06-27,0.06343909353017807,0.0645052246493129,0.06290602797061065,0.06397215908974548,10396800
