,Date,Low,High,Close,Open,Volume
9764,2024-12-10,440.71632196493806,448.7202622082635,442.4428405761719,443.500747434082,18469500.0
9763,2024-12-09,439.6184986530788,447.4328163406456,445.12744140625,441.7143023543043,19144400.0
9762,2024-12-06,440.88595677867977,445.2073090094776,442.682373046875,441.4148949698492,18821000.0
9761,2024-12-05,435.2971785217715,443.770179142923,441.7342529296875,437.0436765362191,21697800.0
9760,2024-12-04,431.7642546343851,438.79017518476684,436.544677734375,432.1634480898198,26009400.0
9759,2024-12-03,426.88402964452257,431.60457529422956,430.3371276855469,428.9798333762607,18302000.0
9758,2024-12-02,420.4669212999132,432.13353107658475,430.1175842285156,420.72641076442574,20207200.0
9757,2024-11-29,416.9639323784013,424.0297817162198,422.61260986328125,419.24935840992123,16271900.0
9756,2024-11-27,421.17549451394376,426.37509083138485,422.1435546875,424.2593075311874,18332400.0
9755,2024-11-26,418.01185069672323,428.18146205416855,427.133544921875,418.75036014607525,23458900.0
9754,2024-11-25,414.0198472532827,420.23736087052777,417.95196533203125,417.54278213072394,27691100.0
9753,2024-11-22,410.2374116400306,416.56472079906104,416.16552734375,410.5467888521348,24814600.0
9752,2024-11-21,409.4689690149979,418.9399686403921,412.0437927246094,418.6605301722443,20780200.0
9751,2024-11-20,408.93981090505724,415.62302783332285,413.8302001953125,415.2046922657536,19191700.0
9750,2024-11-19,409.90596948487496,416.270457948444,416.1210632324219,411.45973532284427,18133500.0
9749,2024-11-18,410.45376875637714,416.72858966014985,414.0991516113281,413.21269235073834,24742000.0
9748,2024-11-15,411.98764100476023,421.1110226744225,413.3421936035156,418.14294637599176,28247600.0
9747,2024-11-14,418.3222016749388,426.4595778768523,425.1846923828125,423.30222788535474,30246900.0
9746,2024-11-13,416.5393671420712,427.61494119189337,423.50146484375,419.9556884147255,21502200.0
9745,2024-11-12,415.533390819855,422.744458901271,421.340087890625,416.57918414479684,19401200.0
9744,2024-11-11,414.3381687204943,423.11297221775334,416.34014892578125,420.83211176857736,24503300.0
9743,2024-11-08,420.095077093531,424.7962229099081,420.85205078125,423.6209440547306,16891400.0
9742,2024-11-07,418.2027124984046,425.1448706929316,423.73052978515625,419.5971138468432,19901800.0
9741,2024-11-06,408.8800507986786,418.77040570560524,418.50146484375,410.77248502778195,26681800.0
9740,2024-11-05,406.4498120639611,413.24257521436044,409.8163146972656,406.73866209939297,17626000.0
9739,2024-11-04,403.9498383507318,408.78046967487955,406.8282775878906,408.1629209153218,19672300.0
9738,2024-11-01,405.87212177522963,413.8401634297127,408.73065185546875,407.3760993641267,24230400.0
9737,2024-10-31,404.67692710480617,414.4975548257246,404.72674560546875,413.70073237613923,53971000.0
9736,2024-10-30,430.3738795735308,436.7483071680008,430.8021545410156,435.69254402246366,29749100.0
9735,2024-10-29,424.09903059516625,431.43961494644003,430.2244873046875,426.29025434116863,17644100.0
9734,2024-10-28,424.59704472930554,430.21452917811945,424.8858947753906,429.93564891158985,14882400.0
9733,2024-10-25,424.8659613297776,430.79217425375066,426.43963623046875,425.0552047565001,16899100.0
9732,2024-10-24,420.71258556682636,424.2783011634291,423.0332946777344,423.6308734743349,13581600.0
9731,2024-10-23,420.8421009299413,429.3579337373482,422.9038391113281,429.13881136450993,19654400.0
9730,2024-10-22,416.3700446113444,428.85992860317606,425.8022155761719,416.8182287379404,25482200.0
9729,2024-10-21,412.09718088424023,417.2863598354636,417.1070861816406,414.457708513249,14206100.0
9728,2024-10-18,414.59712869532103,417.97357047210465,416.4895324707031,415.4736181228242,17145300.0
9727,2024-10-17,413.92983752079977,420.81223776702603,415.0553283691406,420.6727824355961,14820000.0
9726,2024-10-16,408.84024879356656,414.6967341717602,414.45770263671875,413.51151588006746,15508900.0
9725,2024-10-15,413.60115139482065,420.7923105426525,417.0672302246094,420.4934907291295,18900200.0
9724,2024-10-14,415.8520832387316,422.34605664401147,417.46563720703125,416.1010845405741,16653100.0
9723,2024-10-11,411.59917791222887,415.46368322393135,414.65692138671875,414.4776477330423,14144900.0
9722,2024-10-10,411.4995460461954,415.68278008253634,414.1788024902344,413.5712539026246,13848400.0
9721,2024-10-09,412.6449477589923,418.70067647812056,415.7923278808594,414.19871346026423,14974300.0
9720,2024-10-08,406.5394920239681,413.99956190900485,413.0533447265625,409.25856700863125,19229300.0
9719,2024-10-07,407.3661708398638,415.4437592952022,407.9040222167969,414.3382079936023,20919800.0
9718,2024-10-04,413.3123071245128,418.07321108796054,414.39794921875,416.5692334072243,19169700.0
9717,2024-10-03,412.63502577299244,417.8739927473743,414.87603759765625,415.9616796785687,13686400.0
9716,2024-10-02,415.0453484935869,421.1309565128566,415.46368408203125,420.89189457845896,16582300.0
9715,2024-10-01,417.13693529272734,426.7683189487975,419.0094299316406,426.73844000863045,19092900.0
9714,2024-09-30,423.67072584299484,428.70057032593814,428.5810241699219,426.49937695538483,16807300.0
9713,2024-09-27,425.762359424982,430.1248672217253,426.3101501464844,429.7961684722898,14896100.0
9712,2024-09-26,427.41572154773536,433.5610566850483,429.5870056152344,433.3519041012862,14492000.0
9711,2024-09-25,426.8579828341436,431.38979462226376,430.3838195800781,428.11292879639643,13396400.0
9710,2024-09-24,424.3978231376462,431.6188608604207,427.45556640625,431.2702529601879,17015800.0
9709,2024-09-23,428.6707276626035,434.7164566201473,431.77825927734375,432.5451724016005,15128900.0
9708,2024-09-20,432.4853956233,437.4853309751932,433.53118896484375,435.47341133704515,55167100.0
9707,2024-09-19,435.15467267064554,439.73630274210893,436.9375305175781,439.4673922763036,21706600.0
9706,2024-09-18,428.6906237541022,434.28816840172493,429.0890197753906,433.2622842089649,18898000.0
9705,2024-09-17,430.5431821213062,440.08492951868885,433.41168212890625,438.47140586333086,18874200.0
9704,2024-09-16,426.50935094179886,431.79813615912246,429.61688232421875,428.879848197679,13834700.0
9703,2024-09-13,423.7603615358477,430.1049097614262,428.869873046875,424.12887859450143,15874600.0
9702,2024-09-12,418.07321227741465,425.6627675750461,425.29425048828125,421.6189886086143,17418800.0
9701,2024-09-11,407.9438146629927,422.29625388353406,421.3500671386719,413.84017908445105,19266900.0
9700,2024-09-10,406.0713456246143,414.66684525245614,412.5453796386719,406.56934824108026,19594300.0
9699,2024-09-09,400.5434971977151,407.01753119323797,404.0992431640625,405.6131601713445,15295100.0
9698,2024-09-06,399.1989078370585,409.00956601687597,400.0953369140625,407.42592125419515,19609500.0
9697,2024-09-05,404.50762432491115,411.4497822581618,406.75860595703125,405.9916624475026,14195500.0
9696,2024-09-04,402.7546379619835,409.5971891641853,407.26654052734375,404.2884945573242,15135800.0
9695,2024-09-03,405.4040060811421,418.20267931936957,407.80438232421875,416.2405478075573,20313600.0
9694,2024-08-30,410.48363692465733,415.822210323597,415.4736328125,413.93977626013776,24308300.0
9693,2024-08-29,408.95977368399144,420.3640158924635,411.4696960449219,413.2824329478728,17045200.0
9692,2024-08-28,405.6828816466664,413.3421641808517,408.9597473144531,413.22264841837114,14882700.0
9691,2024-08-27,408.61117324322794,412.7047404254691,412.18682861328125,411.2107324794244,13492900.0
9690,2024-08-26,409.6968209788455,415.6130949578331,411.8382263183594,414.70672647734364,13152800.0
9689,2024-08-23,410.44379375355777,417.58516466451346,415.1250305175781,415.3142739439322,18493800.0
9688,2024-08-22,412.95370628251766,425.0850728631847,413.88995361328125,422.66475709775676,19361900.0
9687,2024-08-21,420.03533264675815,424.69662989295495,422.4456787109375,422.38589043229285,16067300.0
9686,2024-08-20,419.9556774327427,424.15879050030776,423.10302734375,420.015435317403,16387600.0
9685,2024-08-19,414.79631569386714,420.0651916950313,419.8460693359375,417.28632868553893,15234000.0
9684,2024-08-16,415.6329698343419,419.6568394696199,416.7983093261719,418.919805326896,22775600.0
9683,2024-08-15,415.991550712489,419.42775054091777,419.34808349609375,418.1229861127925,20752100.0
9682,2024-08-14,410.0632696291805,415.30276256625774,414.4477233886719,412.3996465083127,18267000.0
9681,2024-08-13,407.1999483356839,412.54882074125726,411.6142578125,407.2198216789193,19414300.0
9680,2024-08-12,401.9007666876047,406.39463013243375,404.4559020996094,404.7044554196647,16762900.0
9679,2024-08-09,399.9322498333492,405.68872296700823,403.67047119140625,401.6919964430869,19276700.0
