,Date,Low,High,Close,Open
15880,2025-02-05 00:00:00,263.57000732421875,261.75250244140625,265.7200012207031,265.7099914550781
15879,2025-02-04 00:00:00,264.4599914550781,258.1199951171875,265.25,260.0
15878,2025-02-03 00:00:00,260.7300109863281,251.83999633789062,262.05999755859375,252.39999389648438
15877,2025-01-31 00:00:00,255.6999969482422,251.88999938964844,257.239990234375,256.04998779296875
15876,2025-01-30 00:00:00,258.2699890136719,247.00999450683594,261.79998779296875,250.0
15875,2025-01-29 00:00:00,228.6300048828125,223.72999572753906,229.47000122070312,225.6199951171875
15874,2025-01-28 00:00:00,225.66000366210938,221.77000427246094,225.77000427246094,224.32000732421875
15873,2025-01-27 00:00:00,224.1300048828125,219.83999633789062,224.3000030517578,222.19000244140625
15872,2025-01-24 00:00:00,224.8000030517578,223.8000030517578,226.80999755859375,225.27000427246094
15871,2025-01-23 00:00:00,226.0399932861328,223.14999389648438,226.0399932861328,223.94000244140625
15870,2025-01-22 00:00:00,223.25999450683594,220.35000610351562,224.39999389648438,221.97999572753906
15869,2025-01-21 00:00:00,224.25999450683594,222.8300018310547,227.4499969482422,224.99000549316406
15868,2025-01-17 00:00:00,224.7899932861328,223.63999938964844,225.9600067138672,225.9600067138672
15867,2025-01-16 00:00:00,222.66000366210938,217.3800048828125,222.67999267578125,219.69000244140625
15866,2025-01-15 00:00:00,220.02999877929688,218.00999450683594,221.67999267578125,220.8699951171875
15865,2025-01-14 00:00:00,217.75,214.61000061035156,218.1300048828125,218.0
15864,2025-01-13 00:00:00,217.39999389648438,214.75,219.58999633789062,217.88999938964844
15863,2025-01-10 00:00:00,219.75,216.8000030517578,222.42999267578125,222.0
15862,2025-01-08 00:00:00,223.17999267578125,220.8300018310547,224.89999389648438,223.91000366210938
15861,2025-01-07 00:00:00,223.9600067138672,222.8300018310547,226.7100067138672,223.35000610351562
15860,2025-01-06 00:00:00,222.6699981689453,220.75,224.35000610351562,223.0
15859,2025-01-03 00:00:00,222.64999389648438,220.5500030517578,223.66000366210938,220.5500030517578
15858,2025-01-02 00:00:00,219.94000244140625,217.60000610351562,222.49000549316406,221.82000732421875
15857,2024-12-31 00:00:00,219.8300018310547,218.44000244140625,221.0500030517578,220.72000122070312
15856,2024-12-30 00:00:00,220.25,217.64999389648438,221.58999633789062,220.5399932861328
15855,2024-12-27 00:00:00,222.77999877929688,221.41000366210938,224.4199981689453,223.13999938964844
15854,2024-12-26 00:00:00,224.88999938964844,222.5500030517578,225.39999389648438,223.30999755859375
15853,2024-12-24 00:00:00,224.41000366210938,221.5399932861328,224.44000244140625,222.27000427246094
15852,2024-12-23 00:00:00,221.92999267578125,221.0800018310547,223.74000549316406,222.80999755859375
15851,2024-12-20 00:00:00,223.36000061035156,221.67999267578125,227.67999267578125,222.72999572753906
15850,2024-12-19 00:00:00,223.9199981689453,222.97999572753906,226.1999969482422,224.4199981689453
15849,2024-12-18 00:00:00,220.1699981689453,220.02999877929688,229.0399932861328,229.0399932861328
15848,2024-12-17 00:00:00,228.97000122070312,227.6199951171875,230.1999969482422,229.22999572753906
15847,2024-12-16 00:00:00,229.3300018310547,226.8800048828125,231.02999877929688,230.72999572753906
15846,2024-12-13 00:00:00,230.82000732421875,230.25999450683594,233.77999877929688,232.25
15845,2024-12-12 00:00:00,232.25999450683594,230.3800048828125,233.88999938964844,230.66000366210938
15844,2024-12-11 00:00:00,230.1199951171875,229.1300048828125,233.0,232.69000244140625
15843,2024-12-10 00:00:00,231.72000122070312,227.8000030517578,234.38999938964844,228.39999389648438
15842,2024-12-09 00:00:00,230.0,228.91000366210938,239.35000610351562,238.0
15841,2024-12-06 00:00:00,238.0399932861328,234.22000122070312,238.3800048828125,234.42999267578125
15840,2024-12-05 00:00:00,234.75,233.4600067138672,236.52000427246094,233.5500030517578
15839,2024-12-04 00:00:00,233.49000549316406,229.35000610351562,233.74000549316406,230.0
15838,2024-12-03 00:00:00,229.0,226.6699981689453,229.11000061035156,227.24000549316406
15837,2024-12-02 00:00:00,227.38999938964844,225.50999450683594,228.3800048828125,227.5
15836,2024-11-29 00:00:00,227.41000366210938,227.19000244140625,230.36000061035156,227.75
15835,2024-11-27 00:00:00,226.9199981689453,224.27000427246094,229.19000244140625,228.8300018310547
15834,2024-11-26 00:00:00,228.8300018310547,225.50999450683594,228.97999572753906,226.72999572753906
15833,2024-11-25 00:00:00,226.1300048828125,222.64999389648438,226.4199981689453,223.35000610351562
15832,2024-11-22 00:00:00,222.97000122070312,220.88999938964844,227.1999969482422,223.35000610351562
